benchmark,method,replicate,n,eps,n_sims,wall_s,mean_sim_s
gaussian_mean,sync,1,944737,2.3632739566188665e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1118914,2.0701059843676595e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1325203,1.6803164177070506e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1569524,1.3076393462894964e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,1858890,1.1148296903566723e-05,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,2201604,9.871595678501157e-06,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,2607503,8.191940895033167e-06,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,3088236,7.253148131811105e-06,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,3657599,5.496602571278264e-06,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,1,4331934,3.909546477873227e-06,4331934,299.99959993362427,9.802788680269003e-05
gaussian_mean,sync,2,200,2.781765387114205,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,237,1.99790528746462,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,281,1.768654088193987,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,334,1.1898807450370024,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,397,0.960383665979996,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,471,0.7515468113369022,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,560,0.6391503619310722,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,665,0.5229870489718538,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,789,0.4353330805770144,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,937,0.323873175062973,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1113,0.2365531857843483,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1321,0.1787298587661397,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1568,0.133123015170759,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,1862,0.0844949115890365,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,2211,0.0563916274085091,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,2625,0.0399268823228896,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,3117,0.0257696197208989,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,3701,0.0163250254136896,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,4394,0.0097781775586277,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,5217,0.0069933643104534,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,6194,0.0051190982123586,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,7354,0.0039780892770096,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,8731,0.0032686837743247,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,10367,0.0023641503243835,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,12308,0.0018849761934782,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,14613,0.0014503239942749,5005357,299.99970626831055,9.84831757878407e-05
gaussian_mean,sync,2,17350,0.0012291135295173,5005357,299.99970626831055,9.84831757878407e-05
