trial,method,benchmark,param,true_value,rank,n_samples
145,async_propulate_abc,gaussian_mean,mu,-1.6425064865720729,64,100
146,async_propulate_abc,gaussian_mean,mu,-2.9314432932725145,98,100
147,async_propulate_abc,gaussian_mean,mu,-1.9711189832605616,100,100
148,async_propulate_abc,gaussian_mean,mu,1.862134648140799,16,100
149,async_propulate_abc,gaussian_mean,mu,-4.784960548997063,39,100
150,async_propulate_abc,gaussian_mean,mu,-0.3837987146285391,47,100
151,async_propulate_abc,gaussian_mean,mu,4.298342900284197,50,100
152,async_propulate_abc,gaussian_mean,mu,-3.5108465124430124,74,100
153,async_propulate_abc,gaussian_mean,mu,-4.515070517239516,65,100
154,async_propulate_abc,gaussian_mean,mu,4.790734377389388,20,100
155,async_propulate_abc,gaussian_mean,mu,-0.1065210044368765,78,100
156,async_propulate_abc,gaussian_mean,mu,2.5771050718307995,95,100
157,async_propulate_abc,gaussian_mean,mu,-1.3609178769761463,61,100
158,async_propulate_abc,gaussian_mean,mu,-4.13457226404633,94,100
159,async_propulate_abc,gaussian_mean,mu,-0.5169642199662068,31,100
140,abc_smc_baseline,gaussian_mean,mu,-0.1134951533990813,33,100
141,abc_smc_baseline,gaussian_mean,mu,1.512829081757716,4,100
142,abc_smc_baseline,gaussian_mean,mu,2.126885472223787,40,100
143,abc_smc_baseline,gaussian_mean,mu,2.8219421231287303,87,100
144,abc_smc_baseline,gaussian_mean,mu,-0.8613428486633943,82,100
145,abc_smc_baseline,gaussian_mean,mu,-1.6425064865720729,57,100
146,abc_smc_baseline,gaussian_mean,mu,-2.9314432932725145,100,100
147,abc_smc_baseline,gaussian_mean,mu,-1.9711189832605616,100,100
148,abc_smc_baseline,gaussian_mean,mu,1.862134648140799,12,100
149,abc_smc_baseline,gaussian_mean,mu,-4.784960548997063,20,100
150,abc_smc_baseline,gaussian_mean,mu,-0.3837987146285391,57,100
151,abc_smc_baseline,gaussian_mean,mu,4.298342900284197,59,100
152,abc_smc_baseline,gaussian_mean,mu,-3.5108465124430124,79,100
153,abc_smc_baseline,gaussian_mean,mu,-4.515070517239516,65,100
154,abc_smc_baseline,gaussian_mean,mu,4.790734377389388,20,100
155,abc_smc_baseline,gaussian_mean,mu,-0.1065210044368765,92,100
156,abc_smc_baseline,gaussian_mean,mu,2.5771050718307995,100,100
157,abc_smc_baseline,gaussian_mean,mu,-1.3609178769761463,69,100
158,abc_smc_baseline,gaussian_mean,mu,-4.13457226404633,87,100
159,abc_smc_baseline,gaussian_mean,mu,-0.5169642199662068,55,100
160,async_propulate_abc,gaussian_mean,mu,-1.3369835243932124,62,100
161,async_propulate_abc,gaussian_mean,mu,-1.1566366689829843,33,100
162,async_propulate_abc,gaussian_mean,mu,3.2036074963944685,73,100
163,async_propulate_abc,gaussian_mean,mu,2.758703765134793,97,100
164,async_propulate_abc,gaussian_mean,mu,1.0623818304017965,59,100
165,async_propulate_abc,gaussian_mean,mu,-3.400065064588275,2,100
166,async_propulate_abc,gaussian_mean,mu,3.161419127660965,89,100
167,async_propulate_abc,gaussian_mean,mu,-1.1205845470576268,74,100
168,async_propulate_abc,gaussian_mean,mu,3.998908349737583,34,100
169,async_propulate_abc,gaussian_mean,mu,4.105121785083195,97,100
170,async_propulate_abc,gaussian_mean,mu,-1.9924651120169568,87,100
171,async_propulate_abc,gaussian_mean,mu,4.894949259280846,33,100
172,async_propulate_abc,gaussian_mean,mu,0.910902906735334,99,100
173,async_propulate_abc,gaussian_mean,mu,0.5184182426867991,83,100
174,async_propulate_abc,gaussian_mean,mu,-1.363541081439296,84,100
175,async_propulate_abc,gaussian_mean,mu,-2.3271952843638988,73,100
176,async_propulate_abc,gaussian_mean,mu,-4.809026858009558,56,100
177,async_propulate_abc,gaussian_mean,mu,2.2815608713026325,4,100
178,async_propulate_abc,gaussian_mean,mu,-4.193238403995593,94,100
179,async_propulate_abc,gaussian_mean,mu,4.572353353243889,62,100
160,abc_smc_baseline,gaussian_mean,mu,-1.3369835243932124,56,100
161,abc_smc_baseline,gaussian_mean,mu,-1.1566366689829843,16,100
162,abc_smc_baseline,gaussian_mean,mu,3.2036074963944685,45,100
163,abc_smc_baseline,gaussian_mean,mu,2.758703765134793,91,100
164,abc_smc_baseline,gaussian_mean,mu,1.0623818304017965,76,100
165,abc_smc_baseline,gaussian_mean,mu,-3.400065064588275,0,100
166,abc_smc_baseline,gaussian_mean,mu,3.161419127660965,99,100
167,abc_smc_baseline,gaussian_mean,mu,-1.1205845470576268,91,100
168,abc_smc_baseline,gaussian_mean,mu,3.998908349737583,21,100
169,abc_smc_baseline,gaussian_mean,mu,4.105121785083195,95,100
170,abc_smc_baseline,gaussian_mean,mu,-1.9924651120169568,94,100
171,abc_smc_baseline,gaussian_mean,mu,4.894949259280846,18,100
172,abc_smc_baseline,gaussian_mean,mu,0.910902906735334,98,100
173,abc_smc_baseline,gaussian_mean,mu,0.5184182426867991,80,100
174,abc_smc_baseline,gaussian_mean,mu,-1.363541081439296,91,100
175,abc_smc_baseline,gaussian_mean,mu,-2.3271952843638988,85,100
176,abc_smc_baseline,gaussian_mean,mu,-4.809026858009558,63,100
177,abc_smc_baseline,gaussian_mean,mu,2.2815608713026325,1,100
178,abc_smc_baseline,gaussian_mean,mu,-4.193238403995593,96,100
179,abc_smc_baseline,gaussian_mean,mu,4.572353353243889,65,100
180,async_propulate_abc,gaussian_mean,mu,3.5703321871421565,41,100
181,async_propulate_abc,gaussian_mean,mu,4.810508010773656,55,100
182,async_propulate_abc,gaussian_mean,mu,-0.1297953276282495,73,100
183,async_propulate_abc,gaussian_mean,mu,-0.9038516833602036,27,100
184,async_propulate_abc,gaussian_mean,mu,2.3439815587471937,84,100
185,async_propulate_abc,gaussian_mean,mu,4.847866306227873,61,100
186,async_propulate_abc,gaussian_mean,mu,0.5198810136753815,21,100
187,async_propulate_abc,gaussian_mean,mu,3.745898919296316,46,100
188,async_propulate_abc,gaussian_mean,mu,2.187054759547236,58,100
189,async_propulate_abc,gaussian_mean,mu,3.0353575315748103,27,100
190,async_propulate_abc,gaussian_mean,mu,-1.947581155107334,12,100
191,async_propulate_abc,gaussian_mean,mu,-0.5957915960954976,83,100
192,async_propulate_abc,gaussian_mean,mu,-4.6395011841324525,5,100
193,async_propulate_abc,gaussian_mean,mu,-4.133386127706182,49,100
194,async_propulate_abc,gaussian_mean,mu,0.2637863771848998,95,100
195,async_propulate_abc,gaussian_mean,mu,1.4668796714001662,60,100
196,async_propulate_abc,gaussian_mean,mu,4.543027973919514,48,100
197,async_propulate_abc,gaussian_mean,mu,-2.804686425424272,77,100
198,async_propulate_abc,gaussian_mean,mu,-3.563452091378798,0,100
199,async_propulate_abc,gaussian_mean,mu,2.236280623113088,83,100
180,abc_smc_baseline,gaussian_mean,mu,3.5703321871421565,45,100
181,abc_smc_baseline,gaussian_mean,mu,4.810508010773656,62,100
182,abc_smc_baseline,gaussian_mean,mu,-0.1297953276282495,79,100
